"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","test_02_wizards[chromium]","tests","Wed Jul 23 16:39:19 GMT 2025","passed","Wed Jul 23 16:39:19 GMT 2025","Test1","test_sanity","",""
"","2098","test_03_wizards[chromium]","tests","Wed Jul 23 16:39:19 GMT 2025","passed","Wed Jul 23 16:39:22 GMT 2025","Test1","test_sanity","",""
"","2050","test_01_wizards[chromium]","tests","Wed Jul 23 16:39:17 GMT 2025","passed","Wed Jul 23 16:39:19 GMT 2025","Test1","test_sanity","",""
