"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_02_wizards[chromium]","tests","Wed Jul 23 16:35:01 GMT 2025","broken","Wed Jul 23 16:35:01 GMT 2025","Test1","test_sanity","",""
"","0","test_01_wizards[chromium]","tests","Wed Jul 23 16:35:01 GMT 2025","broken","Wed Jul 23 16:35:01 GMT 2025","Test1","test_sanity","",""
"","0","test_03_wizards[chromium]","tests","Wed Jul 23 16:35:01 GMT 2025","broken","Wed Jul 23 16:35:01 GMT 2025","Test1","test_sanity","",""
